Parent,Cardinality,Name,Type,Description,Lookup,DisplayName,Display,GroupName,Summary
PropertyDetails,1,ID,Integer,(Attribute) Unique ID assigned to the property,,,,,
PropertyDetails,1,ListingID,String,The MLS Number of the property.,,MLS® Number,,,
PropertyDetails,1,LastUpdated,DateTime,(Attribute) The date the property was last updated,,,,,
PropertyDetails,0..1,Business,Complex,Business details of property,,,,,
PropertyDetails,0..1,Board,Lookup,ID of the Board/Association responsible for,Boards,,,,
Business,0..1,BusinessType,Lookup (CSV),Type of Business,BusinessType,,,,
Business,0..1,BusinessSubType,Lookup (CSV),Business Sub Type,BusinessSubType,,,,
Business,0..1,EstablishedDate,String,Date the Business was established,,,,,
Business,1,Franchise,Boolean,Indicates whether business is a franchise or not,,,,,
Business,0..1,Name,String,Business Name,,,,,
Business,0..1,OperatingSince,String,Date indicating how long the business has been opened,,,,,
PropertyDetails,1,Building,Complex,Building details of the property,,,,,
Building,0..1,BathroomTotal,Integer,Number of bathrooms,,,TRUE,Bathrooms,
Building,0..1,BedroomsAboveGround,Integer,Number of bedrooms above ground,,,TRUE,Bedrooms,
Building,0..1,BedroomsBelowGround,Integer,Number of bedrooms below ground,,,TRUE,Bedrooms,
Building,0..1,BedroomsTotal,Integer,Number of bedrooms (below + above ground),,,TRUE,Bedrooms,
Building,0..1,Age,String,The age of the building,,,,,
Building,0..1,Amenities,Lookup (CSV),The building amenities,Amenities,,TRUE,Building features,
Building,0..1,Amperage,Lookup (CSV),The building amperage,Amperage,,,,
Building,0..1,Anchor,String,The building anchor,,,,,
Building,0..1,Appliances,Lookup (CSV),The appliances included with the building,Appliances,,TRUE,Interior features,
Building,0..1,ArchitecturalStyle,Lookup (CSV),Architectural style of the building,ArchitecturalStyle,,TRUE,Exterior features,
Building,0..1,BasementDevelopment,Lookup (CSV),Development of the basement,BasementDevelopment,,TRUE,Interior features,
Building,0..1,BasementFeatures,Lookup (CSV),Features of the basement,BasementFeatures,,TRUE,Interior features,
Building,0..1,BasementType,Lookup (CSV),The type of basement,BasementType,,TRUE,Interior features,
Building,0..1,BomaRating,String,BOMA energy performance rating,,,,,
Building,0..1,CeilingHeight,String,Ceiling height of the building,MeasureUnit*,,TRUE,Interior features,
Building,0..1,CeilingType,Lookup (CSV),Ceiling type of the building,CeilingType,,TRUE,Interior features,
Building,0..1,ClearCeilingHeight,Lookup (CSV),Clear ceiling height of the building,ClearCeilingHeight,,,,
Building,0..1,ConstructedDate,Integer,The year the building was built,,Built in,TRUE,,5
Building,0..1,ConstructionMaterial,Lookup (CSV),List of construction materials used in the building,ConstructionMaterial,,TRUE,Construction,
Building,0..1,ConstructionStatus,Lookup,The status of the building,ConstructionStatus,,TRUE,Construction,
Building,0..1,ConstructionStyleAttachment,Lookup,The attachment style of the building,ConstructionStyleAttachment,,,Construction,
Building,0..1,ConstructionStyleOther,Lookup,Construction style other,ConstructionStyleOther,,,Construction,
Building,0..1,ConstructionStyleSplitLevel,Lookup,Construction style split level,ConstructionStyleSplitLevel,Split level,TRUE,Construction,
Building,0..1,CoolingType,Lookup (CSV),Type of Cooling in the building,CoolingType,,TRUE,Heating & Cooling,
Building,0..1,EnerguideRating,String,Energuide energy performance rating,,,TRUE,,
Building,0..1,ExteriorFinish,Lookup (CSV),The exterior finish of the building,ExteriorFinish,,TRUE,Exterior features,
Building,0..1,FireProtection,Lookup (CSV),Fire protection and security features of building,FireProtection,,TRUE,Heating & Cooling,
Building,0..1,FireplaceFuel,Lookup (CSV),List of fireplace fuels for the fireplaces in building,FireplaceFuel,,TRUE,Heating & Cooling,
Building,0..1,FireplacePresent,Boolean,Indicates whether there is a fireplace in building,,,TRUE,Heating & Cooling,
Building,0..1,FireplaceTotal,Integer,Total number of fireplaces present in building,,,TRUE,Heating & Cooling,
Building,0..1,FireplaceType,Lookup (CSV),The types of fireplace in the building,FireplaceType,,TRUE,Heating & Cooling,
Building,0..1,Fixture,Lookup (CSV),Building fixture,Fixture,,TRUE,Interior features,
Building,0..1,FlooringType,Lookup (CSV),The type of flooring in the building,FlooringType,,TRUE,Interior features,
Building,0..1,FoundationType,Lookup (CSV),The type of foundation of the building,FoundationType,,TRUE,Interior features,
Building,0..1,HalfBathTotal,Integer,The number of half Bathrooms,,Half bathrooms,TRUE,Bathrooms,
Building,0..1,HeatingFuel,Lookup (CSV),Fuel used for heating the building,HeatingFuel,,TRUE,Heating & Cooling,
Building,0..1,HeatingType,Lookup (CSV),The heating type of the building,HeatingType,,TRUE,Heating & Cooling,
Building,0..1,LeedsCategory,String,LEEDS green building certification category,,,,,
Building,0..1,LeedsRating,String,LEEDS green building certification rating,,,,,
Building,0..1,RenovatedDate,String,The date the building was renovated,,,TRUE,Building features,
Building,0..1,RoofMaterial,Lookup (CSV),The type of roofing material of the building,RoofMaterial,,TRUE,Exterior features,
Building,0..1,RoofStyle,Lookup (CSV),The roof style of the building,RoofStyle,,TRUE,Exterior features,
Building,0..1,Rooms,Collection,Collection of Room,,,,,
Rooms,1..*,Room,Complex,Details of a single room,,,Table,,
Room,0..1,Type,Lookup,Type of room,RoomType,,TRUE,,
Room,0..1,Width,String,Width of the room,MeasureUnit*,,,,
Room,0..1,Level,Lookup,The level of the room,RoomLevel,,TRUE,,
Room,0..1,Length,String,The length of the room,MeasureUnit*,,,,
Room,0..1,Description,String,General description of the room,,,TRUE,,
Room,0..1,Dimension,String,The dimensions of the room,,,TRUE,,
Building,0..1,StoriesTotal,Double,The number of stories of the building,,Storeys,TRUE,,3
Building,0..1,SizeExterior,String,Building interior size,MeasureUnit*,Exterior size,TRUE,Building features,
Building,0..1,SizeInterior,String,Building exterior size,MeasureUnit*,Interior size,TRUE,Building features,
Building,0..1,SizeInteriorFinished,String,The size of finished interior,MeasureUnit*,Finished interior size,TRUE,Building features,
Building,0..1,StoreFront,Lookup (CSV),The building storefront,StoreFront,,,,
Building,0..1,TotalFinishedArea,String,Total finished area,MeasureUnit*,,,,
Building,0..1,Type,Lookup (CSV),Type of Building,BuildingType,Building Type,TRUE,,2
Building,0..1,Uffi,String,UFFI (Urea Formaldehyde Foam Insulation) status,,UFFI,,,
Building,0..1,UnitType,String,Type of unit,,,TRUE,,
Building,0..1,UtilityPower,Lookup (CSV),The types of power in the building,UtilityPower,,TRUE,Utility,
Building,0..1,UtilityWater,Lookup (CSV),Building water type,UtilityWater,,TRUE,Utility,
Building,0..1,VacancyRate,String,The rate of vacancy,,,,,
PropertyDetails,0..1,Land,Complex,Details about the land of the property,,,,,
Land,0..1,SizeTotal,String,The total size of the property,MeasureUnit*,Total size,TRUE,,
Land,0..1,SizeTotalText,String,The total size of the property as text,,,,,
Land,0..1,SizeFrontage,String,The amount of frontage of the property,MeasureUnit*,Frontage,TRUE,,
